Banner_ID,Reporting_Label,Targeting_Key,Creative_Dimension,Default,Active,Exit_URL,Concept,Abbv,Color_Version,Ani_Style,BgTheme,TxtColor,RibbonTxtColor,RibbonColor,RibbonTxt,RibbonTxt_css,Txt1,Txt1_css,Txt1_Pause,Txt2,Txt2_css,CtaTxt,CtaTxt_css,CtaBtn_css,Replay_css,Banner_json,Back_img,Front_img
Default_300x250,Default Social Security T1 N Graphic 300x250,rip_ss_opt1,300x250,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,"fontSize: 12px, lineHeight: 13px, letterSpacing: 0px",Simplify how your clients get the most from Social Security.,"fontSize: 24px, lineHeight: 26px, letterSpacing: 0px",3.5,Help clients understand <br>the foundation of <br>their retirement plan.,"fontSize: 20px, lineHeight: 22px, letterSpacing: 0px",Learn more,"fontSize: 11px, lineHeight: 13px, letterSpacing: 0px","height:20px, letterSpacing:0px","top:5px, left:5px",js/ss.json,ss_back_t1_300x250_2x.jpg,ss_front_t1_300x250_2x.png
Default_160x600,Default Social Security T1 N Graphic 160x600,rip_ss_opt1,160x600,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get the most from Social Security.,,3.5,Help clients understand the foundation of their retirement plan.,,Learn more,,,,,ss_back_t1_160x600_2x.jpg,ss_front_t1_160x600_2x.png
Default_300x600,Default Social Security T1 N Graphic 300x600,rip_ss_opt1,300x600,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Graphic,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get the most from Social Security.,,3.5,Help clients understand the foundation of their retirement plan.,,Learn more,,,,,ss_back_t1_300x600_2x.jpg,ss_front_t1_300x600_2x.png
Default_728x90,Default Social Security T1 N Crop 728x90,rip_ss_opt1,728x90,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Crop,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get <br>the most from Social Security.,,3.5,Help clients understand <br>the foundation of their <br>retirement plan.,,Learn more,,,,,ss_back_t1_728x90_2x.jpg,
Default_970x90,Default Social Security T1 N Crop 970x90,rip_ss_opt1,970x90,TRUE,TRUE,https://nf.nationwideadvisory.com/l/677263/2021-04-07/66btn,Social Security,SS,T1,N Crop,Vibrant Blue - White,White,White,Medium Blue,Social Security Basics,,Simplify how your clients get <br>the most from Social Security.,,3.5,Help clients understand the foundation <br>of their retirement plan.,,Learn more,,,,,ss_back_t1_970x90_2x.jpg,
IPG_T1_160x600,In-Plan Guarantees T1 N Graphic 160x600,,160x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about <br>a new guaranteed lifetime income investment option.,,Learn more,,,,,ipg_back_t1_160x600_2x.jpg,ipg_front_t1_160x600_2x.png
IPG_T1_300x250,In-Plan Guarantees T1 N Graphic 300x250,,300x250,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime<br>income investment option.,,Learn more,,,,,ipg_back_t1_300x250_2x.jpg,ipg_front_t1_300x250_2x.png
IPG_T1_300x600,In-Plan Guarantees T1 N Graphic 300x600,,300x600,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Graphic,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime<br>income investment option.,,Learn more,,,,,ipg_back_t1_300x600_2x.jpg,ipg_front_t1_300x600_2x.png
IPG_T1_728x90,In-Plan Guarantees T1 N Crop 728x90,,728x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed <br>lifetime income solutions. ,,3.5,Learn about a new guaranteed lifetime&nbsp;income&nbsp;investment&nbsp;option.,,Learn more,,,,,ipg_back_t1_728x90_2x.jpg,
IPG_T1_970x90,In-Plan Guarantees T1 N Crop 970x90,,970x90,FALSE,TRUE,https://nationwidefinancial.com/,In-Plan Guarantees,IPG,T1,N Crop,Vibrant Blue - White,,,,Retirement Plans,,Get insights about guaranteed <br>lifetime income solutions. ,,3.5,Learn about a new guaranteed<br>lifetime income investment&nbsp;option.,,Learn more,,,,,ipg_back_t1_970x90_2x.jpg,
